survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,alive,alone
0,1,male,45.5,0,0,28.5,First,man,True,no,True
0,2,male,23.0,0,0,13.0,Second,man,True,no,True
0,3,male,32.0,0,0,7.925,Third,man,True,no,True
0,3,male,26.0,1,0,7.8542,Third,man,True,no,False
0,3,female,6.0,4,2,31.275,Third,child,False,no,False
0,1,male,24.0,0,1,247.5208,First,man,True,no,False
0,1,male,45.0,0,0,26.55,First,man,True,no,True
0,2,male,29.0,1,0,27.7208,Second,man,True,no,False
0,3,male,,0,0,7.8958,Third,man,True,no,True
1,1,male,,0,0,35.5,First,man,True,yes,True
1,2,female,42.0,0,0,13.0,Second,woman,False,yes,True
0,3,male,36.0,1,1,24.15,Third,man,True,no,False
0,2,male,33.0,0,0,12.275,Second,man,True,no,True
0,3,male,17.0,1,0,7.0542,Third,man,True,no,False
1,3,male,29.0,0,0,9.5,Third,man,True,yes,True
1,2,female,50.0,0,1,26.0,Second,woman,False,yes,False
1,1,female,35.0,1,0,90.0,First,woman,False,yes,False
1,1,female,38.0,0,0,227.525,First,woman,False,yes,True
0,2,male,34.0,0,0,13.0,Second,man,True,no,True
1,1,female,17.0,1,0,57.0,First,woman,False,yes,False
0,3,female,11.0,4,2,31.275,Third,child,False,no,False
0,3,male,61.0,0,0,6.2375,Third,man,True,no,True
0,3,female,30.0,0,0,8.6625,Third,woman,False,no,True
1,2,female,7.0,0,2,26.25,Second,child,False,yes,False
1,3,female,63.0,0,0,9.5875,Third,woman,False,yes,True
1,3,male,20.0,0,0,7.2292,Third,man,True,yes,True
1,3,female,,0,2,22.3583,Third,woman,False,yes,False
0,3,male,29.0,0,0,9.4833,Third,man,True,no,True
1,1,male,36.0,1,2,120.0,First,man,True,yes,False
0,3,male,,0,0,14.4583,Third,man,True,no,True
0,3,male,50.0,0,0,8.05,Third,man,True,no,True
0,1,male,27.0,0,2,211.5,First,man,True,no,False
0,3,male,30.0,0,0,7.25,Third,man,True,no,True
1,1,female,33.0,1,0,90.0,First,woman,False,yes,False
0,3,male,,0,0,7.725,Third,man,True,no,True
0,3,female,,3,1,25.4667,Third,woman,False,no,False
0,3,male,2.0,3,1,21.075,Third,child,False,no,False
1,2,female,25.0,1,1,30.0,Second,woman,False,yes,False
0,1,male,51.0,0,1,61.3792,First,man,True,no,False
1,2,female,25.0,0,1,26.0,Second,woman,False,yes,False
0,3,male,,0,0,7.25,Third,man,True,no,True
0,3,male,,0,0,7.8958,Third,man,True,no,True
0,2,female,24.0,0,0,13.0,Second,woman,False,no,True
0,3,male,18.0,1,1,20.2125,Third,man,True,no,False
1,1,male,,0,0,30.5,First,man,True,yes,True
0,3,male,25.0,0,0,7.05,Third,man,True,no,True
1,2,female,24.0,0,2,14.5,Second,woman,False,yes,False
0,3,male,22.0,0,0,7.5208,Third,man,True,no,True
1,1,male,0.92,1,2,151.55,First,child,False,yes,False
1,2,female,24.0,1,0,26.0,Second,woman,False,yes,False
1,3,female,26.0,0,0,7.925,Third,woman,False,yes,True
0,2,male,34.0,1,0,21.0,Second,man,True,no,False
1,1,female,21.0,2,2,262.375,First,woman,False,yes,False
0,3,male,,0,0,7.75,Third,man,True,no,True
1,3,female,,0,0,7.2292,Third,woman,False,yes,True
0,3,male,,0,0,8.6625,Third,man,True,no,True
1,3,female,22.0,0,0,7.775,Third,woman,False,yes,True
1,1,female,62.0,0,0,80.0,First,woman,False,yes,True
1,3,female,18.0,0,0,9.8417,Third,woman,False,yes,True
1,1,female,42.0,0,0,227.525,First,woman,False,yes,True
0,2,male,57.0,0,0,12.35,Second,man,True,no,True
0,3,male,19.0,0,0,0.0,Third,man,True,no,True
1,2,female,42.0,1,0,26.0,Second,woman,False,yes,False
0,3,male,,0,0,7.225,Third,man,True,no,True
0,3,female,20.0,0,0,8.6625,Third,woman,False,no,True
0,3,male,34.5,0,0,6.4375,Third,man,True,no,True
0,3,male,28.0,0,0,9.5,Third,man,True,no,True
0,3,male,,0,0,8.05,Third,man,True,no,True
0,3,male,23.0,0,0,7.8958,Third,man,True,no,True
0,3,male,22.0,0,0,7.25,Third,man,True,no,True
1,1,male,52.0,0,0,30.5,First,man,True,yes,True
1,3,female,30.0,0,0,12.475,Third,woman,False,yes,True
0,2,male,36.5,0,2,26.0,Second,man,True,no,False
0,3,male,,0,0,7.75,Third,man,True,no,True
0,3,male,22.0,0,0,7.2292,Third,man,True,no,True
1,1,male,50.0,2,0,133.65,First,man,True,yes,False
1,3,male,27.0,0,0,6.975,Third,man,True,yes,True
0,3,male,22.0,0,0,8.05,Third,man,True,no,True
1,1,female,51.0,1,0,77.9583,First,woman,False,yes,False
0,2,male,36.0,0,0,10.5,Second,man,True,no,True
1,2,female,29.0,1,0,26.0,Second,woman,False,yes,False
1,1,female,22.0,0,0,151.55,First,woman,False,yes,True
0,1,male,50.0,1,0,106.425,First,man,True,no,False
1,2,female,40.0,0,0,13.0,Second,woman,False,yes,True
1,3,male,27.0,0,0,8.6625,Third,man,True,yes,True
0,1,male,,0,0,0.0,First,man,True,no,True
0,1,male,65.0,0,0,26.55,First,man,True,no,True
0,3,male,17.0,0,0,8.6625,Third,man,True,no,True
1,1,male,28.0,0,0,26.55,First,man,True,yes,True
1,1,male,4.0,0,2,81.8583,First,child,False,yes,False
0,3,male,,0,0,7.8958,Third,man,True,no,True
1,3,female,1.0,1,1,11.1333,Third,child,False,yes,False
0,2,male,36.0,1,2,27.75,Second,man,True,no,False
0,2,male,43.0,1,1,26.25,Second,man,True,no,False
0,1,male,38.0,0,1,153.4625,First,man,True,no,False
1,2,female,31.0,1,1,26.25,Second,woman,False,yes,False
0,3,male,29.0,0,0,8.05,Third,man,True,no,True
0,3,male,18.0,0,0,8.3,Third,man,True,no,True
0,2,male,,0,0,15.05,Second,man,True,no,True
1,1,female,39.0,1,1,110.8833,First,woman,False,yes,False
0,2,male,39.0,0,0,13.0,Second,man,True,no,True
0,3,male,26.0,2,0,8.6625,Third,man,True,no,False
0,3,male,20.0,0,0,7.05,Third,man,True,no,True
1,1,female,,1,0,133.65,First,woman,False,yes,False
0,3,male,49.0,0,0,0.0,Third,man,True,no,True
0,2,male,23.0,0,0,15.0458,Second,man,True,no,True
0,3,male,1.0,4,1,39.6875,Third,child,False,no,False
1,3,female,,0,0,7.8792,Third,woman,False,yes,True
0,3,male,,1,2,23.45,Third,man,True,no,False
1,2,male,3.0,1,1,26.0,Second,child,False,yes,False
1,3,male,4.0,1,1,11.1333,Third,child,False,yes,False
0,3,male,19.0,0,0,7.65,Third,man,True,no,True
0,3,male,40.5,0,0,7.75,Third,man,True,no,True
1,3,female,1.0,0,2,15.7417,Third,child,False,yes,False
0,3,female,,0,2,15.2458,Third,woman,False,no,False
0,3,male,21.0,0,0,7.925,Third,man,True,no,True
0,1,male,54.0,0,0,51.8625,First,man,True,no,True
0,3,male,,0,0,15.5,Third,man,True,no,True
0,2,male,25.0,1,2,41.5792,Second,man,True,no,False
0,3,male,26.0,1,0,14.4542,Third,man,True,no,False
0,3,female,22.0,0,0,10.5167,Third,woman,False,no,True
1,3,female,31.0,1,1,20.525,Third,woman,False,yes,False
1,1,male,49.0,1,0,89.1042,First,man,True,yes,False
0,2,male,19.0,1,1,36.75,Second,man,True,no,False
0,2,male,24.0,0,0,10.5,Second,man,True,no,True
1,3,male,16.0,0,0,8.05,Third,man,True,yes,True
1,1,male,25.0,1,0,55.4417,First,man,True,yes,False
0,3,male,39.0,0,0,24.15,Third,man,True,no,True
0,3,female,47.0,1,0,14.5,Third,woman,False,no,False
0,1,male,60.0,0,0,26.55,First,man,True,no,True
